"","node","cluster","interactor","description","timepoint"
"44","HORVU.MOREX.r2.1HG0023190",3,FALSE,"WRKY transcription factor",NA
"45","HORVU.MOREX.r2.1HG0023430",1,FALSE,"Malic enzyme","32H"
"46","HORVU.MOREX.r2.1HG0023530",3,FALSE,"Auxin-responsive protein",NA
"47","HORVU.MOREX.r2.1HG0023540",4,FALSE,"Proteasome subunit beta type","32H"
"48","HORVU.MOREX.r2.1HG0023690",3,FALSE,"tRNA N6-adenosine threonylcarbamoyltransferase",NA
"49","HORVU.MOREX.r2.1HG0024100",6,FALSE,"50S ribosomal protein L5",NA
"50","HORVU.MOREX.r2.1HG0024570",3,FALSE,"Agamous MADS-box transcription factor",NA
"51","HORVU.MOREX.r2.1HG0025130",1,FALSE,"40S ribosomal protein S7",NA
"52","HORVU.MOREX.r2.1HG0025340",1,FALSE,"Rad3-related DNA helicase family protein",NA
"53","HORVU.MOREX.r2.1HG0025370",1,FALSE,"Receptor-like kinase",NA
"54","HORVU.MOREX.r2.1HG0025600",3,FALSE,"Abscisic acid receptor",NA
"55","HORVU.MOREX.r2.1HG0025750",1,FALSE,"RNA-binding family protein",NA
"56","HORVU.MOREX.r2.1HG0026120",2,FALSE,"Ferrochelatase",NA
"57","HORVU.MOREX.r2.1HG0026750",6,FALSE,"40S ribosomal protein S3a",NA
"58","HORVU.MOREX.r2.1HG0026840",1,FALSE,"Phospholipid-transporting ATPase",NA
"59","HORVU.MOREX.r2.1HG0027030",3,FALSE,"LIM domain and RING finger protein",NA
"60","HORVU.MOREX.r2.1HG0027180",5,FALSE,"Vacuolar protein sorting-associated protein 20",NA
"61","HORVU.MOREX.r2.1HG0027750",4,FALSE,"Histone acetyltransferase GCN5",NA
"62","HORVU.MOREX.r2.1HG0028810",2,FALSE,"Methylthioribose-1-phosphate isomerase",NA
"63","HORVU.MOREX.r2.1HG0029020",3,FALSE,"Ribulose bisphosphate carboxylase small chain","32H"
"64","HORVU.MOREX.r2.1HG0030460",1,FALSE,"Ubiquitin-conjugating enzyme E2","32H"
"65","HORVU.MOREX.r2.1HG0031510",4,FALSE,"60 kDa chaperonin","32H"
"66","HORVU.MOREX.r2.1HG0031540",1,FALSE,"Cysteine--tRNA ligase",NA
"67","HORVU.MOREX.r2.1HG0031760",6,FALSE,"60S ribosomal protein L21",NA
"68","HORVU.MOREX.r2.1HG0032840",2,FALSE,"UDP-glucose:glycoprotein glucosyltransferase",NA
"69","HORVU.MOREX.r2.1HG0033460",1,FALSE,"Transportin-3",NA
"70","HORVU.MOREX.r2.1HG0033530",3,FALSE,"Malate dehydrogenase",NA
"71","HORVU.MOREX.r2.1HG0035320",1,FALSE,"RING/U-box superfamily protein",NA
"72","HORVU.MOREX.r2.1HG0035690",1,FALSE,"ALG-2 interacting protein X",NA
"73","HORVU.MOREX.r2.1HG0036700",3,FALSE,"Protochlorophyllide reductase","32H"
"74","HORVU.MOREX.r2.1HG0038310",1,FALSE,"Valine--tRNA ligase",NA
"75","HORVU.MOREX.r2.1HG0038510",1,FALSE,"U1 small nuclear ribonucleoprotein 70 kDa",NA
"76","HORVU.MOREX.r2.1HG0038710",5,TRUE,"Kinesin-like protein",NA
"77","HORVU.MOREX.r2.1HG0038750",1,FALSE,"Cytochrome P450 family protein","32H"
"78","HORVU.MOREX.r2.1HG0039190",3,FALSE,"Cyclin family protein",NA
"79","HORVU.MOREX.r2.1HG0039980",2,FALSE,"COP9 signalosome complex subunit 1",NA
"80","HORVU.MOREX.r2.1HG0040860",3,FALSE,"Mitogen-activated protein kinase",NA
"81","HORVU.MOREX.r2.1HG0040990",1,FALSE,"Xanthine dehydrogenase",NA
"82","HORVU.MOREX.r2.1HG0041310",3,FALSE,"Abscisic acid receptor",NA
"83","HORVU.MOREX.r2.1HG0041630",1,FALSE,"DnaJ-like protein",NA
"84","HORVU.MOREX.r2.1HG0041920",3,FALSE,"Phenylalanine--tRNA ligase beta subunit",NA
"85","HORVU.MOREX.r2.1HG0042030",4,FALSE,"26S proteasome regulatory subunit family protein",NA
"86","HORVU.MOREX.r2.1HG0042190",1,FALSE,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12",NA
"87","HORVU.MOREX.r2.1HG0042520",3,FALSE,"E2 ubiquitin-conjugating-like enzyme",NA
"88","HORVU.MOREX.r2.1HG0043100",1,FALSE,"Expansin-like protein",NA
"89","HORVU.MOREX.r2.1HG0043190",1,FALSE,"Protein kinase family protein, putative, expressed",NA
"90","HORVU.MOREX.r2.1HG0044410",1,FALSE,"Flavin-containing monooxygenase",NA
"91","HORVU.MOREX.r2.1HG0044480",3,FALSE,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein",NA
"92","HORVU.MOREX.r2.1HG0044700",2,FALSE,"CCR4-NOT transcription complex subunit 1",NA
"93","HORVU.MOREX.r2.1HG0044870",4,FALSE,"T-complex protein 1",NA
"94","HORVU.MOREX.r2.1HG0044900",1,FALSE,"Dynamin, putative",NA
"95","HORVU.MOREX.r2.1HG0045430",3,FALSE,"Calcineurin B-like protein",NA
"96","HORVU.MOREX.r2.1HG0045470",1,FALSE,"Phospho-2-dehydro-3-deoxyheptonate aldolase",NA
"97","HORVU.MOREX.r2.1HG0045540",1,FALSE,"Nucleoside diphosphate kinase",NA
"98","HORVU.MOREX.r2.1HG0045760",1,FALSE,"Zinc import ATP-binding protein ZnuC",NA
"99","HORVU.MOREX.r2.1HG0047940",5,FALSE,"F21O3.15 protein",NA
"100","HORVU.MOREX.r2.1HG0048720",1,FALSE,"Receptor-like kinase",NA
"101","HORVU.MOREX.r2.1HG0049370",3,FALSE,"Importin subunit beta-1",NA
"102","HORVU.MOREX.r2.1HG0050020",1,FALSE,"Pyruvate, phosphate dikinase",NA
"103","HORVU.MOREX.r2.1HG0051220",1,FALSE,"Coatomer subunit delta","32H"
"104","HORVU.MOREX.r2.1HG0051280",4,FALSE,"Argininosuccinate synthase","32H"
"105","HORVU.MOREX.r2.1HG0051870",3,FALSE,"Plasma membrane ATPase",NA
"106","HORVU.MOREX.r2.1HG0051960",3,FALSE,"NAC domain-containing protein",NA
"107","HORVU.MOREX.r2.1HG0052390",3,FALSE,"PHD finger alfin-like protein",NA
"108","HORVU.MOREX.r2.1HG0052400",1,FALSE,"Alpha/beta-hydrolase-like protein","32H"
"109","HORVU.MOREX.r2.1HG0052620",1,FALSE,"Guanosine nucleotide diphosphate dissociation inhibitor",NA
"110","HORVU.MOREX.r2.1HG0052630",1,FALSE,"Guanosine nucleotide diphosphate dissociation inhibitor",NA
"111","HORVU.MOREX.r2.1HG0052940",1,FALSE,"Tubulin beta chain",NA
"112","HORVU.MOREX.r2.1HG0053340",3,FALSE,"Potassium channel",NA
"113","HORVU.MOREX.r2.1HG0053790",1,FALSE,"Sulfite reductase [NADPH] hemoprotein beta-component",NA
"114","HORVU.MOREX.r2.1HG0055140",3,FALSE,"Ethylene-responsive transcription factor, putative",NA
"115","HORVU.MOREX.r2.1HG0055260",3,FALSE,"Phosphoglycerate kinase",NA
"116","HORVU.MOREX.r2.1HG0055890",1,FALSE,"Tubulin beta chain",NA
"117","HORVU.MOREX.r2.1HG0056070",3,FALSE,"SNF1-related protein kinase regulatory subunit beta-1",NA
"118","HORVU.MOREX.r2.1HG0056090",3,FALSE,"Calmodulin",NA
"119","HORVU.MOREX.r2.1HG0056110",4,FALSE,"Proteasome subunit alpha type",NA
"120","HORVU.MOREX.r2.1HG0056230",2,FALSE,"60S ribosomal protein L30",NA
"121","HORVU.MOREX.r2.1HG0056380",1,FALSE,"NADH-cytochrome b5 reductase","32H"
"122","HORVU.MOREX.r2.1HG0056390",1,FALSE,"RING/U-box superfamily protein",NA
"123","HORVU.MOREX.r2.1HG0057070",1,FALSE,"Ubiquitin-conjugating enzyme E2",NA
"124","HORVU.MOREX.r2.1HG0057640",1,FALSE,"TOM1-like protein 2",NA
"125","HORVU.MOREX.r2.1HG0058860",6,FALSE,"30S ribosomal protein S12",NA
"126","HORVU.MOREX.r2.1HG0059160",6,FALSE,"30S ribosomal protein S8, putative",NA
"127","HORVU.MOREX.r2.1HG0059290",1,FALSE,"Ubiquitin conjugating enzyme E2","32H"
"128","HORVU.MOREX.r2.1HG0059860",2,FALSE,"Auxin efflux carrier component",NA
"129","HORVU.MOREX.r2.1HG0060090",1,FALSE,"HXXXD-type acyl-transferase family protein",NA
"130","HORVU.MOREX.r2.1HG0060180",1,FALSE,"Auxin influx transporter",NA
"131","HORVU.MOREX.r2.1HG0060990",5,FALSE,"DUF668 family protein",NA
"132","HORVU.MOREX.r2.1HG0061420",1,FALSE,"Polypyrimidine tract-binding protein-like protein",NA
"133","HORVU.MOREX.r2.1HG0061590",1,FALSE,"Soluble inorganic pyrophosphatase","32H"
"134","HORVU.MOREX.r2.1HG0062040",2,FALSE,"ATP-dependent 6-phosphofructokinase",NA
"135","HORVU.MOREX.r2.1HG0062050",1,FALSE,"Mitochondrial-processing peptidase subunit alpha",NA
"136","HORVU.MOREX.r2.1HG0062120",1,FALSE,"Inorganic pyrophosphatase family protein",NA
"137","HORVU.MOREX.r2.1HG0062540",5,FALSE,"Protein kinase",NA
"138","HORVU.MOREX.r2.1HG0062690",1,FALSE,"Trehalose-6-phosphate synthase 6",NA
"139","HORVU.MOREX.r2.1HG0064440",2,FALSE,"Glutamate--tRNA ligase",NA
"140","HORVU.MOREX.r2.1HG0064910",1,FALSE,"Sec14p-like phosphatidylinositol transfer family protein",NA
"141","HORVU.MOREX.r2.1HG0065080",1,FALSE,"AP-1 complex subunit mu-1","32H"
"142","HORVU.MOREX.r2.1HG0065490",3,FALSE,"60S ribosomal protein l28",NA
"143","HORVU.MOREX.r2.1HG0065550",2,FALSE,"Vesicle transport V-SNARE protein",NA
"144","HORVU.MOREX.r2.1HG0065630",5,FALSE,"IQ domain-containing protein",NA
"145","HORVU.MOREX.r2.1HG0066210",3,FALSE,"Protein phosphatase 2C",NA
"146","HORVU.MOREX.r2.1HG0066230",3,FALSE,"WRKY transcription factor",NA
"147","HORVU.MOREX.r2.1HG0066450",1,FALSE,"6-phosphogluconate dehydrogenase, decarboxylating",NA
"148","HORVU.MOREX.r2.1HG0067230",3,FALSE,"Non-specific serine/threonine protein kinase",NA
"149","HORVU.MOREX.r2.1HG0067330",1,FALSE,"Hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyltransferase",NA
"150","HORVU.MOREX.r2.1HG0067490",1,FALSE,"Malate dehydrogenase","32H"
"151","HORVU.MOREX.r2.1HG0067520",4,FALSE,"26S proteasome non-ATPase regulatory subunit 1",NA
"152","HORVU.MOREX.r2.1HG0068000",1,FALSE,"Alpha-glucan water dikinase",NA
"153","HORVU.MOREX.r2.1HG0068430",1,FALSE,"Threonine synthase","32H"
"154","HORVU.MOREX.r2.1HG0068730",2,FALSE,"Serine/threonine-protein phosphatase",NA
"155","HORVU.MOREX.r2.1HG0068780",3,FALSE,"GDP-mannose 4,6-dehydratase",NA
"156","HORVU.MOREX.r2.1HG0069340",3,FALSE,"Guanine nucleotide-binding protein subunit beta-1",NA
"157","HORVU.MOREX.r2.1HG0069590",2,FALSE,"Nucleolar family protein",NA
"158","HORVU.MOREX.r2.1HG0069900",1,FALSE,"Cyclin-D1-binding protein 1",NA
"159","HORVU.MOREX.r2.1HG0070020",1,FALSE,"Asparagine synthetase",NA
"160","HORVU.MOREX.r2.1HG0070120",2,FALSE,"RuvB-like helicase",NA
"161","HORVU.MOREX.r2.1HG0070270",1,FALSE,"1-deoxy-D-xylulose 5-phosphate synthase",NA
"162","HORVU.MOREX.r2.1HG0070320",1,FALSE,"Dynamin-related protein","32H"
"163","HORVU.MOREX.r2.1HG0070480",6,FALSE,"60S ribosomal protein L37a",NA
"164","HORVU.MOREX.r2.1HG0071390",8,TRUE,"Golgin candidate 5/TATA element modulatory factor",NA
"165","HORVU.MOREX.r2.1HG0072390",1,FALSE,"Splicing factor U2af small subunit A","32H"
"166","HORVU.MOREX.r2.1HG0072860",1,FALSE,"Urease accessory protein ureG",NA
"167","HORVU.MOREX.r2.1HG0072870",1,FALSE,"Phosphoinositide phosphatase family protein",NA
"168","HORVU.MOREX.r2.1HG0073100",1,FALSE,"ABC transporter ATP-binding protein ARB1","32H"
"169","HORVU.MOREX.r2.1HG0073140",1,FALSE,"ABC transporter ATP-binding protein ARB1",NA
"170","HORVU.MOREX.r2.1HG0073230",3,FALSE,"Kinase family protein",NA
"171","HORVU.MOREX.r2.1HG0073250",3,FALSE,"GDP-mannose-3',5'-epimerase","32H"
"172","HORVU.MOREX.r2.1HG0073380",2,FALSE,"Eukaryotic translation initiation factor 3 subunit D",NA
"173","HORVU.MOREX.r2.1HG0073660",1,FALSE,"Subtilisin-like protease",NA
"174","HORVU.MOREX.r2.1HG0073960",1,FALSE,"O-methyltransferase",NA
"175","HORVU.MOREX.r2.1HG0074060",3,FALSE,"50S ribosomal protein L7/L12",NA
"176","HORVU.MOREX.r2.1HG0074070",3,FALSE,"MYB transcription factor",NA
"177","HORVU.MOREX.r2.1HG0074710",1,FALSE,"Ketol-acid reductoisomerase (NADP(+))",NA
"178","HORVU.MOREX.r2.1HG0074920",4,FALSE,"Proteasome subunit beta type",NA
"179","HORVU.MOREX.r2.1HG0075160",3,FALSE,"Mitogen-activated protein kinase",NA
"180","HORVU.MOREX.r2.1HG0075250",1,FALSE,"Flavin-containing monooxygenase",NA
"181","HORVU.MOREX.r2.1HG0075270",1,FALSE,"Isoprenylcysteine alpha-carbonyl methylesterase ICME",NA
"182","HORVU.MOREX.r2.1HG0076120",1,FALSE,"Asparagine synthetase",NA
"183","HORVU.MOREX.r2.1HG0076500",3,FALSE,"Calcium-dependent protein kinase",NA
"184","HORVU.MOREX.r2.1HG0076940",5,FALSE,"TPR repeat-containing thioredoxin TTL1",NA
"185","HORVU.MOREX.r2.1HG0077910",1,FALSE,"DNA damage-binding protein 1",NA
"186","HORVU.MOREX.r2.1HG0078080",2,FALSE,"Translation initiation factor if-2, putative",NA
"187","HORVU.MOREX.r2.1HG0078200",1,FALSE,"V-type proton ATPase subunit C",NA
"188","HORVU.MOREX.r2.1HG0078260",3,FALSE,"Phosphatase 2C",NA
"189","HORVU.MOREX.r2.1HG0078280",1,FALSE,"Flavonoid 3'-hydroxylase",NA
"190","HORVU.MOREX.r2.1HG0078410",3,FALSE,"ATP-dependent RNA helicase",NA
"191","HORVU.MOREX.r2.1HG0078550",1,FALSE,"Nucleoside diphosphate kinase",NA
"192","HORVU.MOREX.r2.2HG0078890",1,FALSE,"Cysteine synthase","32H"
"193","HORVU.MOREX.r2.2HG0079930",2,FALSE,"Protein transport Sec24-like protein","32H"
"194","HORVU.MOREX.r2.2HG0080700",1,FALSE,"Pectate lyase",NA
"195","HORVU.MOREX.r2.2HG0081770",2,FALSE,"Actin-related protein","32H"
"196","HORVU.MOREX.r2.2HG0082090",1,FALSE,"ABC transporter B family protein",NA
"197","HORVU.MOREX.r2.2HG0082540",3,FALSE,"3-ketoacyl-CoA thiolase",NA
"198","HORVU.MOREX.r2.2HG0082650",1,FALSE,"dimethylallyl, adenosine tRNA methylthiotransferase",NA
"199","HORVU.MOREX.r2.2HG0082710",3,FALSE,"Cullin-associated NEDD8-dissociated protein 1",NA
"200","HORVU.MOREX.r2.2HG0084300",4,FALSE,"60 kDa chaperonin",NA
"201","HORVU.MOREX.r2.2HG0085310",2,FALSE,"Vacuolar protein-sorting protein 33",NA
"202","HORVU.MOREX.r2.2HG0085510",1,FALSE,"Glycerol-3-phosphate dehydrogenase",NA
"203","HORVU.MOREX.r2.2HG0085790",1,FALSE,"Acetyl-CoA carboxylase",NA
"204","HORVU.MOREX.r2.2HG0085920",1,FALSE,"Glucose-6-phosphate 1-dehydrogenase",NA
"205","HORVU.MOREX.r2.2HG0085980",3,FALSE,"Ribulose bisphosphate carboxylase small chain",NA
"206","HORVU.MOREX.r2.2HG0086010",3,FALSE,"Ribulose bisphosphate carboxylase small chain",NA
"207","HORVU.MOREX.r2.2HG0086020",3,FALSE,"Ribulose bisphosphate carboxylase small chain",NA
"208","HORVU.MOREX.r2.2HG0086230",2,FALSE,"Aquaporin",NA
"209","HORVU.MOREX.r2.2HG0086780",3,FALSE,"SNARE-interacting protein KEULE",NA
"210","HORVU.MOREX.r2.2HG0087620",1,FALSE,"Amine oxidase",NA
"211","HORVU.MOREX.r2.2HG0088730",4,FALSE,"26S protease regulatory subunit","32H"
"212","HORVU.MOREX.r2.2HG0089030",3,FALSE,"Isoflavone reductase-like protein",NA
"213","HORVU.MOREX.r2.2HG0089140",1,FALSE,"Ubiquitin activating enzyme E1",NA
"214","HORVU.MOREX.r2.2HG0090250",1,FALSE,"Lon protease homolog","32H"
"215","HORVU.MOREX.r2.2HG0090260",1,FALSE,"Dipeptidyl-peptidase, putative",NA
"216","HORVU.MOREX.r2.2HG0090510",1,FALSE,"Importin subunit alpha",NA
"217","HORVU.MOREX.r2.2HG0090820",3,FALSE,"SNF1-related protein kinase regulatory subunit beta-1",NA
"218","HORVU.MOREX.r2.2HG0090930",1,FALSE,"RINT1-like protein",NA
"219","HORVU.MOREX.r2.2HG0091120",1,FALSE,"Imidazoleglycerol-phosphate dehydratase",NA
"220","HORVU.MOREX.r2.2HG0092650",6,FALSE,"Ribosomal protein L19",NA
"221","HORVU.MOREX.r2.2HG0093260",1,FALSE,"Universal stress protein",NA
"222","HORVU.MOREX.r2.2HG0093270",1,FALSE,"Universal stress protein",NA
"223","HORVU.MOREX.r2.2HG0093450",1,FALSE,"Protein arginine methyltransferase",NA
"224","HORVU.MOREX.r2.2HG0093960",1,FALSE,"Xylose isomerase",NA
"225","HORVU.MOREX.r2.2HG0094430",2,FALSE,"Nucleolar protein",NA
"226","HORVU.MOREX.r2.2HG0095350",4,FALSE,"50S ribosomal protein L24",NA
"227","HORVU.MOREX.r2.2HG0095510",2,FALSE,"Nucleolar family protein",NA
"228","HORVU.MOREX.r2.2HG0095530",2,FALSE,"Nucleolar family protein",NA
"229","HORVU.MOREX.r2.2HG0095540",2,FALSE,"Nucleolar family protein",NA
"230","HORVU.MOREX.r2.2HG0095640",1,FALSE,"WD40 repeat-like protein",NA
"231","HORVU.MOREX.r2.2HG0096210",1,FALSE,"Glutamate synthase, putative","32H"
"232","HORVU.MOREX.r2.2HG0096380",1,FALSE,"Thioredoxin reductase",NA
"233","HORVU.MOREX.r2.2HG0096470",4,FALSE,"transducin family protein / WD-40 repeat family protein","32H"
"234","HORVU.MOREX.r2.2HG0096630",3,FALSE,"Magnesium-chelatase subunit H",NA
"235","HORVU.MOREX.r2.2HG0097510",1,FALSE,"Glycosyltransferase",NA
"236","HORVU.MOREX.r2.2HG0097550",1,FALSE,"Glycosyltransferase",NA
"237","HORVU.MOREX.r2.2HG0098330",1,FALSE,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",NA
"238","HORVU.MOREX.r2.2HG0098360",5,FALSE,"Stomatal closure-related actin-binding protein 1",NA
"239","HORVU.MOREX.r2.2HG0098510",3,FALSE,"DNA/RNA helicase protein",NA
"240","HORVU.MOREX.r2.2HG0098630",3,FALSE,"Plastid-lipid associated protein PAP / fibrillin family protein",NA
"241","HORVU.MOREX.r2.2HG0098800",3,FALSE,"Xylulose kinase",NA
"242","HORVU.MOREX.r2.2HG0100410",1,FALSE,"ATP-dependent RNA helicase family protein",NA
"243","HORVU.MOREX.r2.2HG0100640",1,FALSE,"Transmembrane emp24 domain-containing protein",NA
"244","HORVU.MOREX.r2.2HG0100930",1,FALSE,"UDP-glycosyltransferase",NA
"245","HORVU.MOREX.r2.2HG0101390",3,FALSE,"Purple acid phosphatase",NA
"246","HORVU.MOREX.r2.2HG0101820",1,FALSE,"Alpha-ketoglutarate-dependent dioxygenase alkB-like protein 2",NA
"247","HORVU.MOREX.r2.2HG0102950",1,FALSE,"Sucrose synthase",NA
"248","HORVU.MOREX.r2.2HG0103040",1,FALSE,"3-oxoacyl-[acyl-carrier-protein] synthase",NA
"249","HORVU.MOREX.r2.2HG0103130",3,FALSE,"Argonaute protein",NA
"250","HORVU.MOREX.r2.2HG0103970",6,FALSE,"30S ribosomal protein S3",NA
"251","HORVU.MOREX.r2.2HG0104130",3,FALSE,"Nuclear transcription factor Y subunit",NA
"252","HORVU.MOREX.r2.2HG0105540",5,FALSE,"RNA binding protein",NA
"253","HORVU.MOREX.r2.2HG0107810",1,FALSE,"Cytochrome b561 and DOMON domain-containing protein",NA
"254","HORVU.MOREX.r2.2HG0108340",3,FALSE,"BES1/BZR1 homolog 1",NA
"255","HORVU.MOREX.r2.2HG0108990",2,FALSE,"Importin-5",NA
"256","HORVU.MOREX.r2.2HG0109180",1,FALSE,"Zinc finger FYVE domain-containing protein 1",NA
"257","HORVU.MOREX.r2.2HG0109440",1,FALSE,"Phenylalanine ammonia-lyase","32H"
"258","HORVU.MOREX.r2.2HG0109550",5,FALSE,"Pre-mRNA-splicing factor 18",NA
"259","HORVU.MOREX.r2.2HG0110770",1,FALSE,"Peptidyl-prolyl cis-trans isomerase, putative",NA
"260","HORVU.MOREX.r2.2HG0110800",5,FALSE,"Kinase","32H"
"261","HORVU.MOREX.r2.2HG0110830",1,FALSE,"Brefeldin A-inhibited guanine nucleotide-exchange protein",NA
"262","HORVU.MOREX.r2.2HG0110930",1,FALSE,"Secretory carrier-associated membrane protein","32H"
"263","HORVU.MOREX.r2.2HG0110990",5,FALSE,"Ras-related protein Rab-2",NA
"264","HORVU.MOREX.r2.2HG0111000",1,FALSE,"Phospholipid-transporting ATPase",NA
"265","HORVU.MOREX.r2.2HG0111260",1,FALSE,"Chlorophyll a-b binding protein, chloroplastic",NA
"266","HORVU.MOREX.r2.2HG0111520",1,FALSE,"Sugar transporter, putative",NA
"267","HORVU.MOREX.r2.2HG0111740",1,FALSE,"Chlorophyll a-b binding protein, chloroplastic",NA
"268","HORVU.MOREX.r2.2HG0112890",1,FALSE,"V-type proton ATPase subunit H",NA
"269","HORVU.MOREX.r2.2HG0114820",1,FALSE,"Isocitrate lyase",NA
"270","HORVU.MOREX.r2.2HG0115600",3,FALSE,"60S ribosomal protein L44",NA
"271","HORVU.MOREX.r2.2HG0118280",1,FALSE,"WAT1-related protein",NA
"272","HORVU.MOREX.r2.2HG0118640",1,FALSE,"Zeta-carotene desaturase","32H"
"273","HORVU.MOREX.r2.2HG0119140",8,FALSE,"Ras-related protein","32H"
"274","HORVU.MOREX.r2.2HG0120660",3,FALSE,"PHD finger alfin-like protein",NA
"275","HORVU.MOREX.r2.2HG0122340",3,FALSE,"Peptidylprolyl isomerase",NA
"276","HORVU.MOREX.r2.2HG0123500",2,FALSE,"Syntaxin",NA
"277","HORVU.MOREX.r2.2HG0123910",1,FALSE,"Proline--tRNA ligase",NA
"278","HORVU.MOREX.r2.2HG0124730",6,FALSE,"50S ribosomal protein L6",NA
"279","HORVU.MOREX.r2.2HG0125080",8,FALSE,"Protein GRIP",NA
"280","HORVU.MOREX.r2.2HG0125770",3,FALSE,"Peroxisomal (S)-2-hydroxy-acid oxidase",NA
"281","HORVU.MOREX.r2.2HG0126960",5,FALSE,"Receptor kinase",NA
"282","HORVU.MOREX.r2.2HG0127360",1,FALSE,"WD40 repeat-like protein","32H"
"283","HORVU.MOREX.r2.2HG0128750",3,FALSE,"Tetratricopeptide repeat protein 13",NA
"284","HORVU.MOREX.r2.2HG0128840",2,FALSE,"Protein kinase",NA
"285","HORVU.MOREX.r2.2HG0129130",1,FALSE,"Aminotransferase","32H"
