,node,degree,betweenness,closeness,eigcent,bdc,diffslc_09,description,MLA_group
42,HORVU.MOREX.r2.1HG0004810,10,0,8.78E-07,0.004808824,3.516047373,0.355932679,Actin depolymerizing factor,MLA
43,HORVU.MOREX.r2.1HG0004830,24,0,8.77E-07,0.00043996,20.94916104,2.095312068,Histone H2A,HvInt
44,HORVU.MOREX.r2.1HG0004870,3,0,8.75E-07,0.000519836,1.155218605,0.115989713,Inorganic pyrophosphatase family protein,HvInt
45,HORVU.MOREX.r2.1HG0004900,4,14053,8.75E-07,8.16E-07,2.576550889,0.257655823,Poly [ADP-ribose] polymerase,HvInt
46,HORVU.MOREX.r2.1HG0005300,2,0,8.77E-07,1.86E-05,0.898785647,0.089895271,MORC family CW-type zinc finger protein 4,HvInt
47,HORVU.MOREX.r2.1HG0005340,6,0,8.77E-07,0.005942936,1.525125712,0.157861213,Glucose-6-phosphate isomerase,MLA
48,HORVU.MOREX.r2.1HG0005400,3,0,8.77E-07,0.005759187,1.037915851,0.108974853,Armadillo/beta-catenin-like repeat protein,MLA
49,HORVU.MOREX.r2.1HG0005560,4,39.67667818,8.78E-07,6.05E-07,0.803718882,0.080372433,ERD (Early-responsive to dehydration stress) family protein,HvInt
50,HORVU.MOREX.r2.1HG0005570,1,0,8.75E-07,3.80E-05,0.90801942,0.09083611,Calcium-transporting ATPase,HvInt
51,HORVU.MOREX.r2.1HG0006000,3,0,8.77E-07,0.004389406,0.977178489,0.101668314,"Alcohol dehydrogenase, putative",MLA
52,HORVU.MOREX.r2.1HG0006050,48,7070.970531,8.78E-07,0.004081707,11.12143647,1.115817183,Cytochrome P450,MLA
53,HORVU.MOREX.r2.1HG0006100,2,0,8.78E-07,5.60E-05,1.679919452,0.168042364,Cytochrome P450,HvInt
54,HORVU.MOREX.r2.1HG0006140,1,0,8.75E-07,6.15E-08,0.876566869,0.087656742,Intracellular protease 1,HvInt
55,HORVU.MOREX.r2.1HG0006150,25,14052,8.78E-07,0.000277912,3.94922674,0.395172794,Protein DETOXIFICATION,HvInt
56,HORVU.MOREX.r2.1HG0006240,56,7660.602402,8.78E-07,0.005604902,7.844730295,0.789517442,Glutathione S-transferase,MLA
57,HORVU.MOREX.r2.1HG0006250,4,0,8.77E-07,0.000448808,1.825867857,0.182990712,11S globulin seed storage protein 2,HvInt
58,HORVU.MOREX.r2.1HG0006350,36,220.3293791,8.78E-07,0.000130128,19.59695172,1.959812287,Agamous MADS-box transcription factor,HvInt
59,HORVU.MOREX.r2.1HG0006360,36,28469.58955,8.78E-07,2.69E-06,18.46162845,1.846165268,Agamous MADS-box transcription factor,MLA
60,HORVU.MOREX.r2.1HG0006370,9,0,8.78E-07,0.000163226,2.447571348,0.244904038,UDP galactose transporter-related protein,HvInt
61,HORVU.MOREX.r2.1HG0006660,19,7026,8.78E-07,0.000144863,5.656073415,0.565737718,Histone-lysine N-methyltransferase,HvInt
62,HORVU.MOREX.r2.1HG0006720,1,0,8.77E-07,9.62E-06,0.834595857,0.083468242,MYB transcription factor,HvInt
63,HORVU.MOREX.r2.1HG0007070,4,0,8.77E-07,3.10E-05,1.040044828,0.104032363,Potassium transporter,HvInt
64,HORVU.MOREX.r2.1HG0007090,13,0,8.78E-07,0.000117956,2.124875196,0.21259368,"Cytochrome P450 family protein, expressed",HvInt
65,HORVU.MOREX.r2.1HG0007260,1,0,8.77E-07,1.43E-08,0.800929721,0.080092985,Cytochrome b,HvInt
66,HORVU.MOREX.r2.1HG0007670,12,0,8.76E-07,0.001724703,5.254670983,0.527019331,Nuclear pore complex protein Nup107,HvInt
67,HORVU.MOREX.r2.1HG0007850,1,0,8.77E-07,7.28E-07,0.832990194,0.083299675,"Pentatricopeptide repeat superfamily protein, putative",HvInt
68,HORVU.MOREX.r2.1HG0007880,35,0,8.78E-07,0.000255245,15.08075457,1.508305178,Bidirectional sugar transporter SWEET,HvInt
69,HORVU.MOREX.r2.1HG0008020,11,0,8.78E-07,4.37E-05,1.483738615,0.148413213,"keratin-associated protein, putative (DUF819)",HvInt
70,HORVU.MOREX.r2.1HG0008410,2,0,8.77E-07,2.24E-05,0.887047581,0.088724943,"Transmembrane protein, putative",HvInt
71,HORVU.MOREX.r2.1HG0008940,13,0,8.78E-07,3.51E-05,9.105097645,0.910541399,F-box family protein,HvInt
72,HORVU.MOREX.r2.1HG0008950,1,0,8.74E-07,0.000491186,0.958266589,0.096268726,Pyrimidine-specific ribonucleoside hydrolase,HvInt
73,HORVU.MOREX.r2.1HG0009250,12,1,8.77E-07,8.71E-05,3.895732782,0.389651628,AP2-like ethylene-responsive transcription factor,HvInt
74,HORVU.MOREX.r2.1HG0009310,1,0,1.94E-08,0,0.910655803,0.09106558,DNA repair RAD51-like protein,HvInt
75,HORVU.MOREX.r2.1HG0009350,5,6409.679841,8.78E-07,5.41E-07,2.404648603,0.240465347,"Amino acid transporter, putative",HvInt
76,HORVU.MOREX.r2.1HG0009370,3,640.40625,8.78E-07,6.82E-05,0.802789162,0.08034031,O-methyltransferase,MLA
77,HORVU.MOREX.r2.1HG0009580,19,56216,8.77E-07,0.000303951,8.80894302,0.881167858,Disease resistance protein (TIR-NBS-LRR class) family,MLA
78,HORVU.MOREX.r2.1HG0009630,1,0,8.77E-07,5.78E-06,0.855877585,0.085592958,Adenine/guanine permease,HvInt
79,HORVU.MOREX.r2.1HG0009950,1,0,8.69E-07,4.64E-05,0.962301075,0.096271862,Ribosome biogenesis regulatory protein-like protein,HvInt
80,HORVU.MOREX.r2.1HG0010080,3,0,8.75E-07,1.35E-05,2.831359747,0.283148143,Glycosyltransferase,HvInt
81,HORVU.MOREX.r2.1HG0010160,3,0,8.77E-07,0.000137313,2.067644931,0.206888074,"LOB domain-containing protein, putative",HvInt
82,HORVU.MOREX.r2.1HG0010520,4,0,8.77E-07,0.004323354,1.270686578,0.130959677,Protein IQ-DOMAIN 1,HvInt
83,HORVU.MOREX.r2.1HG0010770,6,0,8.77E-07,0.000399053,5.416973848,0.542056533,"Sugar transporter, putative",HvInt
84,HORVU.MOREX.r2.1HG0010950,2,0,8.76E-07,5.04E-05,0.92810393,0.092855724,Importin subunit beta-1,HvInt
85,HORVU.MOREX.r2.1HG0010970,12,27,8.78E-07,0.001565176,4.618526281,0.463261287,E3 SUMO-protein ligase SIZ1,HvInt
86,HORVU.MOREX.r2.1HG0011030,6,53537.44288,8.78E-07,7.42E-05,1.87224499,0.187291241,11S globulin seed storage protein,MLA
87,HORVU.MOREX.r2.1HG0011090,17,0,8.78E-07,0.005985783,3.05641509,0.311028714,Dihydrolipoyl dehydrogenase,MLA
88,HORVU.MOREX.r2.1HG0011100,52,59346.82649,8.78E-07,0.003862742,22.48331007,2.251807475,DNA-directed RNA polymerase subunit N,HvInt
89,HORVU.MOREX.r2.1HG0011150,4,0,8.76E-07,0.006956855,2.337309026,0.239992072,Acyl-CoA dehydrogenase,MLA
90,HORVU.MOREX.r2.1HG0011180,3,0,8.77E-07,2.48E-05,2.523487811,0.252371136,p-loop containing nucleoside triphosphate hydrolases superfamily protein,HvInt
91,HORVU.MOREX.r2.1HG0011220,82,0,8.78E-07,0.225922728,44.93689927,4.697020382,Polyribonucleotide nucleotidyltransferase,MLA
92,HORVU.MOREX.r2.1HG0011260,35,0,8.78E-07,0.00113198,6.844067174,0.685425499,Tetraspanin family protein,HvInt
93,HORVU.MOREX.r2.1HG0011560,32,16408.54792,8.78E-07,0.000118255,4.99962726,0.500069155,Phosphoinositide phospholipase C,HvInt
94,HORVU.MOREX.r2.1HG0011580,32,30204.59408,8.78E-07,0.000112286,4.672075505,0.467308608,Phosphoinositide phospholipase C,HvInt
95,HORVU.MOREX.r2.1HG0011610,6,14003.29733,8.78E-07,0.000104486,1.015096536,0.101603691,"ADP-ribosylation factor, putative",HvInt
96,HORVU.MOREX.r2.1HG0011720,12,0,8.78E-07,0.000739597,4.482538102,0.448919447,RRP15-like protein,HvInt
97,HORVU.MOREX.r2.1HG0011940,4,7027.005435,8.78E-07,6.80E-05,1.481506373,0.148211878,Aminotransferase-related family protein,HvInt
98,HORVU.MOREX.r2.1HG0012240,2,0,8.78E-07,1.60E-05,0.862098369,0.086224227,ATP-dependent zinc metalloprotease FtsH,HvInt
99,HORVU.MOREX.r2.1HG0012450,3,0,8.75E-07,0.000470523,2.841144834,0.284537954,"Carotenoid isomerase, putative, expressed",HvInt
100,HORVU.MOREX.r2.1HG0012470,3,0,8.77E-07,0.004256715,0.969373003,0.100768344,Metal tolerance protein,MLA
101,HORVU.MOREX.r2.1HG0012520,6,0,8.77E-07,0.000169989,3.132944761,0.313447466,Aminotransferase like protein,HvInt
102,HORVU.MOREX.r2.1HG0012580,2,0,8.77E-07,1.39E-05,0.978792204,0.097891706,BZIP transcription factor,HvInt
103,HORVU.MOREX.r2.1HG0012650,7,0,8.78E-07,0.002846451,2.113439606,0.213905766,RNA polymerase II-associated protein 3,HvInt
104,HORVU.MOREX.r2.1HG0013080,4,0,8.77E-07,0.00596793,1.088004054,0.114171542,Phosphate translocator,MLA
105,HORVU.MOREX.r2.1HG0013150,13,334.4039158,8.78E-07,0.000182952,2.196082514,0.219772909,MYB transcription factor,HvInt
106,HORVU.MOREX.r2.1HG0013160,4,7027,8.78E-07,0.00030928,1.6688298,0.167161332,Nitrogen regulatory protein P-II-like protein,HvInt
107,HORVU.MOREX.r2.1HG0013190,7,0,8.77E-07,0.000118657,5.097652113,0.509872002,Protein kinase,MLA
108,HORVU.MOREX.r2.1HG0013310,3,0,8.77E-07,1.48E-06,0.932425591,0.093243888,Protein phosphatase 2C-like protein,HvInt
109,HORVU.MOREX.r2.1HG0013320,3,0,8.78E-07,0.00611386,1.04101072,0.109603546,"RNA polymerase II subunit B1 CTD phosphatase RPAP2, putative",MLA
110,HORVU.MOREX.r2.1HG0013380,6,0,8.78E-07,0.003173243,2.649330718,0.26778899,Auxin influx transporter,MLA
111,HORVU.MOREX.r2.1HG0013890,1,0,8.77E-07,0.00051183,0.856356437,0.08609629,Peptide chain release factor 1,HvInt
112,HORVU.MOREX.r2.1HG0013930,21,21907.20986,8.78E-07,4.31E-05,7.377951835,0.737833964,Non-specific serine/threonine protein kinase,HvInt
113,HORVU.MOREX.r2.1HG0013960,21,8607.804811,8.78E-07,5.46E-05,7.552205632,0.755269686,Non-specific serine/threonine protein kinase,HvInt
114,HORVU.MOREX.r2.1HG0014060,3,0,8.78E-07,0.004780554,1.002209572,0.104523456,ABC transporter B family protein,MLA
115,HORVU.MOREX.r2.1HG0014190,3,55150.93387,8.78E-07,8.37E-06,0.904092476,0.09041678,Chitinase,MLA
116,HORVU.MOREX.r2.1HG0014210,22,0,8.77E-07,0.001779533,8.247703902,0.82637197,Bushy growth protein,HvInt
117,HORVU.MOREX.r2.1HG0014310,35,582.2917808,8.78E-07,0.018492907,3.723260427,0.388969659,Histone H4,HvInt
118,HORVU.MOREX.r2.1HG0014550,12,7003,8.77E-07,0.002946692,5.159991662,0.518651189,RNA-binding family protein,HvInt
119,HORVU.MOREX.r2.1HG0014600,1,0,8.77E-07,0.000115134,0.8384166,0.083945281,Dehydrogenase,HvInt
120,HORVU.MOREX.r2.1HG0014990,2,0,8.74E-07,0.003877201,1.137803583,0.11726984,"N-acetyltransferase, putative",HvInt
121,HORVU.MOREX.r2.1HG0015010,14,0,8.77E-07,0.000857849,5.942505871,0.595022651,Aminotransferase,HvInt
122,HORVU.MOREX.r2.1HG0015020,3,0,8.77E-07,0.003945092,0.957213883,0.099271971,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative",MLA
123,HORVU.MOREX.r2.1HG0015100,78,46789.7268,8.78E-07,0.001096159,22.87561556,2.288548099,Mitogen-activated protein kinase,MLA
124,HORVU.MOREX.r2.1HG0015140,2,0,8.75E-07,6.24E-05,1.021325859,0.102188759,Transducin/WD-like repeat-protein,HvInt
125,HORVU.MOREX.r2.1HG0015150,3,0,8.77E-07,0.000451603,1.102354105,0.110641853,O-acyltransferase,HvInt
126,HORVU.MOREX.r2.1HG0015580,1,0,8.77E-07,5.71E-07,0.842594592,0.084259973,Serine/threonine-protein phosphatase,HvInt
127,HORVU.MOREX.r2.1HG0015630,5,0.005434783,8.78E-07,0.000253513,1.337342645,0.133962426,"Ankyrin repeat domain protein, putative",HvInt
128,HORVU.MOREX.r2.1HG0015640,8,0,8.76E-07,0.000955651,2.775122583,0.278372344,DNA repair helicase,HvInt
129,HORVU.MOREX.r2.1HG0015850,7,0,8.77E-07,0.005464811,3.583214717,0.363239801,Sucrose-phosphatase,MLA
130,HORVU.MOREX.r2.1HG0015880,2,0,8.77E-07,1.58E-05,0.925948018,0.092609003,Protein VERNALIZATION INSENSITIVE 3,HvInt
131,HORVU.MOREX.r2.1HG0015910,1,0,8.75E-07,6.02E-06,0.939199652,0.093925382,GDSL esterase/lipase,HvInt
132,HORVU.MOREX.r2.1HG0015920,6,7024,8.78E-07,5.59E-05,3.089701637,0.309020506,"SAD1/UNC-84 domain protein, putative",HvInt
133,HORVU.MOREX.r2.1HG0015930,5,0,8.76E-07,2.85E-05,3.186405902,0.318666256,Pentatricopeptide repeat superfamily protein,HvInt
134,HORVU.MOREX.r2.1HG0015950,11,0,8.76E-07,0.026533875,9.149795281,0.938860016,Nucleolar MIF4G domain-containing protein 1,HvInt
135,HORVU.MOREX.r2.1HG0016020,1,0,8.77E-07,0.001894768,0.863901925,0.088095484,Nodulin-like / Major Facilitator Superfamily protein,HvInt
136,HORVU.MOREX.r2.1HG0016410,35,585.9167808,8.78E-07,0.015679698,3.585166469,0.372628375,Histone H4,HvInt
137,HORVU.MOREX.r2.1HG0016480,1,0,8.77E-07,1.26E-06,0.858229746,0.085824104,"Endo-1,31,4-beta-D-glucanase",HvInt
138,HORVU.MOREX.r2.1HG0016720,11,2397,8.78E-07,3.13E-05,1.87339465,0.1873676,Sodium/hydrogen exchanger,HvInt
139,HORVU.MOREX.r2.1HG0016740,14,42765.46267,8.78E-07,2.24E-06,2.341807296,0.234182744,Transcription factor basic helix-loop-helix,MLA
140,HORVU.MOREX.r2.1HG0016770,1,0,8.75E-07,1.02E-06,0.878943004,0.087895222,4-hydroxy-tetrahydrodipicolinate reductase,HvInt
141,HORVU.MOREX.r2.1HG0016780,5,0,8.77E-07,0.004837902,1.324573288,0.136811441,Asparagine--tRNA ligase,MLA
142,HORVU.MOREX.r2.1HG0017160,8,7013,8.78E-07,0.001181441,4.211943409,0.422257638,Elongator complex protein 2,HvInt
143,HORVU.MOREX.r2.1HG0017180,1,0,8.77E-07,1.48E-05,0.831766857,0.083190001,Xaa-Pro dipeptidase,HvInt
144,HORVU.MOREX.r2.1HG0017200,6,44114.96335,8.78E-07,3.16E-05,1.07224499,0.107252903,Calcium-dependent lipid-binding (CaLB domain) family protein,HvInt
145,HORVU.MOREX.r2.1HG0017460,65,187485.8764,8.78E-07,0.011196638,25.48865944,2.558942918,Cullin-1,MLA
146,HORVU.MOREX.r2.1HG0017470,47,15248.17329,8.78E-07,0.006470882,22.72862098,2.278685892,Cullin-1,MLA
147,HORVU.MOREX.r2.1HG0017530,11,0,8.77E-07,0.000195498,7.823976621,0.78257361,Anaphase-promoting complex subunit 7,HvInt
148,HORVU.MOREX.r2.1HG0017810,41,28580.86355,8.78E-07,0.003916947,11.17052701,1.120577953,"Chromatin remodeling factor, putative",MLA
149,HORVU.MOREX.r2.1HG0017830,38,58296.52566,8.78E-07,0.000560197,16.30398368,1.630902545,Transport inhibitor response 1,MLA
150,HORVU.MOREX.r2.1HG0017850,1,0,8.76E-07,4.66E-06,0.877927846,0.087796974,ATP-dependent RNA helicase DeaD,HvInt
151,HORVU.MOREX.r2.1HG0017860,3,7027,8.77E-07,0.001323527,2.022115469,0.203402722,Starch synthase family protein,HvInt
152,HORVU.MOREX.r2.1HG0017920,1,0,8.76E-07,7.33E-06,0.883673298,0.088373929,Pathogenesis-related thaumatin family protein,HvInt
153,HORVU.MOREX.r2.1HG0017990,11,14053,8.77E-07,0.001675486,4.031734476,0.404681385,Bifunctional protein FolD,HvInt
154,HORVU.MOREX.r2.1HG0018010,9,0,8.78E-07,0.000456333,4.185566026,0.418967302,Histidine--tRNA ligase,HvInt
155,HORVU.MOREX.r2.1HG0018040,165,13082.34733,8.78E-07,0.912994176,105.3790115,11.35959591,40S ribosomal protein S4,MLA
156,HORVU.MOREX.r2.1HG0018070,10,0,8.78E-07,0.001595256,5.311204076,0.532556138,Translocator protein-like protein,HvInt
157,HORVU.MOREX.r2.1HG0018440,10,0,8.78E-07,0.002849659,7.506382946,0.753202988,Phenylalanine ammonia-lyase,MLA
158,HORVU.MOREX.r2.1HG0018500,3,0,8.77E-07,0.005980831,1.039423512,0.109325099,Gamma-tubulin complex component,MLA
159,HORVU.MOREX.r2.1HG0018510,150,515910.484,8.78E-07,0.074769809,38.08956494,3.876249322,RAN guanine nucleotide release factor,HvInt
160,HORVU.MOREX.r2.1HG0018700,2,0,8.75E-07,0.000193155,0.976760542,0.097849894,Serine/threonine-protein phosphatase,HvInt
161,HORVU.MOREX.r2.1HG0018750,35,691.542295,8.78E-07,0.006796098,3.164881015,0.32260459,Histone H4,HvInt
162,HORVU.MOREX.r2.1HG0018770,4,0,8.76E-07,0.000277699,1.795576827,0.179807612,"Leucine aminopeptidase, putative",HvInt
163,HORVU.MOREX.r2.1HG0018780,1,0,1.94E-08,0,0.867907592,0.086790759,Small nuclear ribonucleoprotein,HvInt
164,HORVU.MOREX.r2.1HG0018910,119,0.186970194,8.78E-07,0.873368686,89.72256392,9.758288209,60S ribosomal protein L18-like protein,HvInt
165,HORVU.MOREX.r2.1HG0018930,3,0,8.77E-07,7.32E-05,1.52481158,0.152547028,Ethylene receptor,HvInt
166,HORVU.MOREX.r2.1HG0019030,8,7027,8.78E-07,0.000183219,3.97799829,0.397964726,Fe/S biogenesis protein nfuA,HvInt
167,HORVU.MOREX.r2.1HG0019110,10,0,8.78E-07,0.002545173,2.146531584,0.216943814,Disulfide-isomerase,HvInt
168,HORVU.MOREX.r2.1HG0019150,9,0,8.78E-07,0.003360564,5.626428515,0.565667359,Peroxisomal membrane (Mpv17/PMP22) family protein,HvInt
169,HORVU.MOREX.r2.1HG0019270,3,0,8.76E-07,0.001464408,2.104248232,0.21174279,"Chaperone protein dnaJ, putative",HvInt
170,HORVU.MOREX.r2.1HG0019290,9,0,8.78E-07,0.000289389,2.526650958,0.252925546,Tubulin beta chain,HvInt
171,HORVU.MOREX.r2.1HG0019300,7,0,8.77E-07,0.005148384,2.404662727,0.245099818,Dihydrolipoyl dehydrogenase,MLA
172,HORVU.MOREX.r2.1HG0019510,17,2,8.77E-07,0.00272783,7.813157537,0.7837708,DNA-directed RNA polymerase II subunit,HvInt
173,HORVU.MOREX.r2.1HG0019520,4,0,8.76E-07,0.000318863,1.597961017,0.160083079,Universal stress protein,HvInt
174,HORVU.MOREX.r2.1HG0019570,22,28093,8.77E-07,0.001517962,11.92471019,1.193837185,DNA-directed RNA polymerase subunit,HvInt
175,HORVU.MOREX.r2.1HG0019660,4,0,8.77E-07,0.001849025,3.464224382,0.348086561,E3 ubiquitin-protein ligase,HvInt
176,HORVU.MOREX.r2.1HG0019680,10,0,8.77E-07,0.001735151,2.789813255,0.280542961,Golgi apparatus membrane protein TVP23,HvInt
177,HORVU.MOREX.r2.1HG0019750,45,678394.0754,8.78E-07,8.15E-05,16.98049791,1.698123127,AGAMOUS MADS box factor transcription factor,MLA
178,HORVU.MOREX.r2.1HG0019760,17,7017,8.78E-07,0.006938443,3.123791392,0.318623738,Dihydrolipoyl dehydrogenase,MLA
179,HORVU.MOREX.r2.1HG0019780,18,3,8.77E-07,0.00144006,9.667304371,0.968026491,Macrophage erythroblast attacher,HvInt
180,HORVU.MOREX.r2.1HG0019790,3,0,8.76E-07,0.008102178,1.208931576,0.128185118,Ubiquitin,HvInt
181,HORVU.MOREX.r2.1HG0020140,28,281.9663353,8.78E-07,0.000554629,4.768453716,0.477344538,"Receptor-like kinase, putative",HvInt
182,HORVU.MOREX.r2.1HG0020240,13,13961.00543,8.78E-07,0.000307619,3.657309522,0.366007809,Transcription initiation factor TFIID subunit 13,HvInt
183,HORVU.MOREX.r2.1HG0020280,10,0,8.77E-07,0.004502139,3.183144962,0.322366421,Arginine--tRNA ligase,HvInt
184,HORVU.MOREX.r2.1HG0020380,1,0,8.76E-07,5.22E-05,0.880378681,0.088084818,"Acyl-CoA dehydrogenase, putative",HvInt
185,HORVU.MOREX.r2.1HG0020550,8,10961.56113,8.78E-07,7.67E-07,3.807437764,0.380744467,"LOB domain-containing protein, putative",HvInt
186,HORVU.MOREX.r2.1HG0020600,7,0,8.78E-07,5.43E-05,2.617557733,0.261804606,Haloacid dehalogenase-like hydrolase superfamily protein,HvInt
187,HORVU.MOREX.r2.1HG0020620,17,0,8.77E-07,0.000524731,2.029771593,0.203449418,Nucleotide/sugar transporter family protein,HvInt
188,HORVU.MOREX.r2.1HG0020650,11,7027,8.78E-07,0.000111671,2.858012166,0.28590172,Thioredoxin-like protein,HvInt
189,HORVU.MOREX.r2.1HG0020680,136,1729.465656,8.78E-07,0.782939934,88.0527254,9.509918481,Ribosomal protein,MLA
190,HORVU.MOREX.r2.1HG0020690,12,0,8.78E-07,0.000253629,1.736496674,0.173877934,RING finger protein,HvInt
191,HORVU.MOREX.r2.1HG0020750,38,1592.720169,8.78E-07,0.003345215,18.56869282,1.859879975,DNA-directed RNA polymerase,HvInt
192,HORVU.MOREX.r2.1HG0020910,2,1,1.94E-08,0,1.601859441,0.160185944,Histidinol-phosphate aminotransferase,HvInt
193,HORVU.MOREX.r2.1HG0021150,20,21039,8.78E-07,0.00036498,9.533664597,0.953694941,DNA-directed RNA polymerase subunit,HvInt
